"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Anfa uitzendbureau","3.7","3","Europalaan 2","Utrecht",,"NL","http://www.anfa-uitzendbureau.nl/","+31 6 23788216","Temp agency","https://www.google.com/maps/search/?api=1&query=Anfa%20uitzendbureau&query_place_id=ChIJdW5RkfxlxkcRdISjCPwXViQ"
"Aditech Utrecht","2.3","3","Pretoriadreef 134","Utrecht",,"NL","https://www.aditech.nl/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website-button","+31 88 234 8333","Temp agency","https://www.google.com/maps/search/?api=1&query=Aditech%20Utrecht&query_place_id=ChIJvQzmCh9vxkcRoGj20kP5ZTk"
"Vetwork","4.9","15","Biltstraat 182","Utrecht",,"NL","http://www.vetwork.nl/","+31 30 237 1130","Employment agency","https://www.google.com/maps/search/?api=1&query=Vetwork&query_place_id=ChIJp6kr9x9SxkcRb-zlBIDq6z0"
"AutiTalent B.V.","5","1","Vredenburg 40","Utrecht",,"NL","https://www.autitalent.nl/","+31 85 081 9555","Temp agency","https://www.google.com/maps/search/?api=1&query=AutiTalent%20B.V.&query_place_id=ChIJQSJ5K1E_xkcRqxHqCHDUrdU"
"Markooij Uitzendbureau","4.1","22","Krommewetering 103 c","Utrecht",,"NL","http://www.markooij.nl/","+31 30 204 4208","Temp agency","https://www.google.com/maps/search/?api=1&query=Markooij%20Uitzendbureau&query_place_id=ChIJsanVIf5vxkcRh0WINEcmBPc"
"Uitzendbureau Utrecht Timing","4.4","48","Vliegend Hertlaan 15-97","Utrecht",,"NL",,"+31 88 506 3041","Employment agency","https://www.google.com/maps/search/?api=1&query=Uitzendbureau%20Utrecht%20Timing&query_place_id=ChIJW74h2k5vxkcRky48ro6Tb_w"
"ZZP Opdrachten","5","1","Wolvenplein 27","Utrecht",,"NL","https://zzp-opdrachten.nl/",,"Recruiter","https://www.google.com/maps/search/?api=1&query=ZZP%20Opdrachten&query_place_id=ChIJyW7lVwNnxkcRK-opW8qyPtA"
"Azor Uitzendbureau Midden Nederland B.V.","4.5","113","Veilinghavenkade 173","Utrecht",,"NL","http://www.azoruitzendbureau.nl/","+31 30 243 0680","Temp agency","https://www.google.com/maps/search/?api=1&query=Azor%20Uitzendbureau%20Midden%20Nederland%20B.V.&query_place_id=ChIJQZidA2ZvxkcRqu5osvlvH4M"
"Verein | Adviseurs sociale zekerheid & arbodienstverlening",,"0","Orteliuslaan 5","Utrecht",,"NL","https://www.verein.nl/?utm_source=GMBlisting&utm_medium=organic","+31 6 55128972","Occupational health service","https://www.google.com/maps/search/?api=1&query=Verein%20%7C%20Adviseurs%20sociale%20zekerheid%20%26%20arbodienstverlening&query_place_id=ChIJZyA67KRlxkcRnGjYMMYsleM"
"Luba Uitzendbureau Utrecht","4.8","12","Pablo Picassostraat 544","Utrecht",,"NL","https://www.luba.nl/contact/luba-uitzendbureau-utrecht","+31 30 238 1740","Employment agency","https://www.google.com/maps/search/?api=1&query=Luba%20Uitzendbureau%20Utrecht&query_place_id=ChIJSxpxYkRvxkcRQEtR21ynKSE"
"De Werknemerspoule B.V.",,"0","Savannahweg 71C","Utrecht",,"NL","http://www.dewerknemerspoule.nl/","+31 85 303 6849","Temp agency","https://www.google.com/maps/search/?api=1&query=De%20Werknemerspoule%20B.V.&query_place_id=ChIJleV_yDpvxkcREPRpq8GYXIs"
"Capabla",,"0","Maliebaan 98","Utrecht",,"NL","http://capabla.com/",,"Employment agency","https://www.google.com/maps/search/?api=1&query=Capabla&query_place_id=ChIJYYifSbNoxkcRjeLXtewz1LQ"
"Poolsekracht.nl","4.2","19","Kanaalweg 86","Utrecht",,"NL","https://poolsekracht.nl/","+31 6 43975544","Temp agency","https://www.google.com/maps/search/?api=1&query=Poolsekracht.nl&query_place_id=ChIJse-lGHNvxkcRk5n0vaImEHI"
